,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
28,Artvin,Kemalpaşa,5971.0,6103.0,6748.0,26.0,1529.0,411.0,2615.0,455.0,873.0,25.0,25.0,11.0,14.0,13.0,0.0
25,Artvin,Murgul,3941.0,4030.0,4531.0,20.0,1360.0,591.0,1301.0,486.0,90.0,37.0,45.0,14.0,8.0,9.0,0.0
22,Artvin,Yusufeli,14447.0,14975.0,17157.0,115.0,8992.0,1683.0,2003.0,1203.0,105.0,138.0,180.0,26.0,67.0,50.0,0.0
19,Artvin,Şavşat,12919.0,13473.0,15624.0,91.0,4576.0,736.0,5120.0,1389.0,509.0,296.0,86.0,46.0,95.0,66.0,0.0
3,Aydın,Bozdoğan,22398.0,23361.0,25836.0,100.0,8596.0,1614.0,6441.0,4625.0,289.0,231.0,185.0,76.0,173.0,168.0,0.0
25,Aydın,Buharkent,8417.0,8758.0,9523.0,32.0,3143.0,615.0,2473.0,1560.0,361.0,91.0,49.0,36.0,42.0,47.0,0.0
33,Aydın,Didim,55841.0,56722.0,65215.0,184.0,11725.0,3244.0,23982.0,6010.0,9846.0,256.0,289.0,186.0,215.0,88.0,0.0
35,Aydın,Efeler,183395.0,186638.0,209128.0,606.0,55882.0,15744.0,59674.0,29850.0,18025.0,1337.0,1439.0,643.0,481.0,320.0,0.0
7,Aydın,Germencik,28248.0,28966.0,31990.0,107.0,7501.0,2784.0,8527.0,3490.0,5347.0,145.0,223.0,73.0,92.0,66.0,0.0
9,Aydın,Karacasu,12400.0,13003.0,14665.0,62.0,4529.0,1047.0,4249.0,2007.0,117.0,114.0,92.0,47.0,109.0,89.0,0.0
29,Aydın,Karpuzlu,7818.0,8193.0,9111.0,36.0,3778.0,895.0,1886.0,982.0,62.0,54.0,75.0,17.0,27.0,42.0,0.0
11,Aydın,Koçarlı,16090.0,16501.0,18070.0,77.0,7540.0,1176.0,4910.0,1722.0,423.0,92.0,104.0,32.0,38.0,53.0,0.0
15,Aydın,Kuyucak,18648.0,19436.0,21467.0,71.0,7503.0,1076.0,6521.0,2807.0,216.0,160.0,124.0,47.0,121.0,73.0,0.0
13,Aydın,Kuşadası,73659.0,74600.0,85651.0,240.0,15164.0,4711.0,35435.0,9760.0,7228.0,310.0,383.0,307.0,287.0,74.0,0.0
31,Aydın,Köşk,18002.0,18543.0,20186.0,68.0,9391.0,2200.0,2474.0,2226.0,1249.0,142.0,191.0,32.0,43.0,54.0,0.0
